Word_Idx,Antonym1,Antonym2,Antonym3,Antonym4
aerophilic_1,anaerobic 
aerophilous_1,anaerobic 
aesthesia_1,insensibility 
aesthetic_2,inaesthetic 
aesthetical_1,inaesthetic 
aestivate_1,hibernate,hibernate
afebrile_1,febrile 
affected_1,unaffected 
affected_2,unmoved 
affected_3,unaffected 
affectedness_2,unaffectedness 
afferent_1,efferent 
affinity_5,consanguinity 
affirm_1,negate 
affirmation_4,reversal 
affirmative_1,negative 
affirmative_4,negative 
affirmatory_1,negative 
affixed_1,unaffixed 
affluent_2,distributary 
afloat_2,aground,sunken
afraid_1,unafraid 
aft_1,fore 
aft_2,fore 
against the wind_1,downwind 
age_6,rejuvenate 
aged_6,young 
aggrade_1,degrade 
aggravate_2,better 
aggressive_1,unaggressive 
agitate_3,calm 
agitated_1,unagitated 
agitated_2,unagitated 
agitation_2,calmness 
agnostic_1,gnostic 
agnostical_1,gnostic 
agonist_2,antagonist 
agree_3,disagree 
agree_4,disagree 
agreeability_1,disagreeableness 
agreeable_3,disagreeable 
agreeableness_1,disagreeableness 
agreeableness_2,disagreeableness 
agreeably_1,disagreeably,unpleasantly
agreement_1,disagreement 
agreement_5,disagreement 
aground_1,afloat,sunken
ahead of time_1,late 
ahead_2,back,backward
ahistorical_1,historical 
aided_1,unassisted 
aimlessness_1,purposefulness 
air mail_1,surface mail 
air_1,land,sea
air-to-air_1,air-to-surface,surface-to-air
air-to-ground_1,air-to-air,surface-to-air
air-to-surface_1,air-to-air,surface-to-air
airworthy_1,unairworthy 
alarming_1,unalarming 
alas_1,fortunately,luckily
alcoholic_2,nonalcoholic 
alert_2,unalert 
alfresco_2,indoors,inside
algorithmic_1,heuristic 
alien_4,citizen 
alienable_1,inalienable 
align_1,skew 
aligned_1,nonaligned 
alignment_2,nonalignment 
alike_1,unalike 
alikeness_1,dissimilitude,unlikeness
aline_1,skew 
alinement_1,nonalignment 
aliquant part_1,aliquot 
aliquant_1,aliquot 
aliquot part_1,aliquant 
aliquot_2,aliquant 
alive_3,unanimated 
alive_4,dead 
aliveness_1,inanimateness 
alkalic_1,acidic,amphoteric
alkalify_1,acidify 
alkaline_1,acidic,amphoteric
alkaline-loving_1,acid-loving 
alkalinity_1,acidity 
alkalise_1,acidify 
alkalize_1,acidify 
all_2,no,some
all_3,partly 
alliance_2,nonalignment 
allochthonous_1,autochthonous 
allogamy_1,autogamy 
allogeneic_1,xenogeneic 
allopathic_1,homeopathic 
allopathy_1,homeopathy 
allopatric_1,sympatric 
allopatry_1,sympatry 
allow in_1,reject 
allow_5,deny 
allow_7,prevent 
allow_8,disallow,forbid
allowable_3,impermissible 
allowably_1,impermissibly 
ally_1,foe 
aloud_1,softly 
alphabetic_1,analphabetic 
alphabetic_2,analphabetic 
alphabetical_1,analphabetic 
alphabetical_2,analphabetic 
already_1,not yet 
also-ran_1,winner
alterability_1,unalterability
alterable_2,unalterable
altered_2,unaltered
alternate_4,opposite
alternating current_1,direct current
alternating_2,direct
alto relievo_1,low relief
alto rilievo_1,low relief
altogether_3,partly
altricial_1,precocial
altruism_1,egoism
altruistic_1,egoistic
always_1,never
amateur_3,professional
amateurishly_1,expertly
ambidextrous_2,left-handed,right-handed
ambiguity_1,unambiguity,unequivocalness
ambiguous_1,unambiguous 
ambiguous_2,unequivocal 
ambiguously_1,unambiguously 
ambitionless_1,ambitious 
ambitious_2,unambitious 
ambitiously_1,unambitiously 
ambiversion_1,extraversion,introversion
ambiversive_1,extroversive,introversive
ameliorate_1,worsen 
ameliorate_2,worsen 
amend_1,worsen 
amended_2,unamended 
amenity_1,disagreeableness 
ametabolic_1,metabolic 
ametabolous_1,metabolic 
ametropic_1,emmetropic 
amiability_2,ill humor 
amicable_1,hostile 
amiss_3,perfectly 
amoral_1,immoral,moral
amorally_1,morally 
amphibious_2,aquatic,terrestrial
amphiprotic_1,acidic,alkaline
amphitropous_1,anatropous 
amphoteric_1,acidic,alkaline
ample_2,meager 
amplify_4,understate 
amply_1,meagerly 
amply_2,meagerly 
amyotonia_1,tonicity 
anabatic_1,katabatic 
anabolic_2,catabolic 
anabolism_1,catabolism 
anaclinal_1,cataclinal 
anadromous_1,catadromous,diadromous
anaerobic_1,aerobic 
anaerobic_2,aerobic 
anaerobiotic_1,aerobic 
anaesthetise_1,bring to 
anaesthetize_1,bring to 
anal retentive_1,oral 
anal_1,oral 
analog_1,digital 
analogous_2,heterologous,homologous
analogue_1,digital 
analogy_2,apophatism,cataphatism
analphabetic_1,alphabetic
analphabetic_2,alphabetic
analphabetism_1,literacy
analyse_3,synthesize
analysis_1,synthesis
analytic thinking_1,synthesis
analytic_1,synthetic
analytic_2,synthetic
analytic_4,synthetic
analytical_1,synthetic
analytical_2,synthetic
analyze_2,synthesize
analyzed_1,unanalyzed
anamorphism_3,katamorphism
anaphrodisia_1,aphrodisia
anaphrodisiac_1,aphrodisiac
anapsid reptile_1,diapsid 
anapsid_1,diapsid 
anastalsis_1,peristalsis 
anastigmatic_2,astigmatic 
anathemise_2,bless 
anathemize_2,bless 
anatropous_1,amphitropous 
ancestor_1,descendant 
androgynous_2,female,male
anemophilous_1,entomophilous 
anesthetise_1,bring to 
anesthetize_1,bring to 
anestrous_2,estrous 
anestrum_1,estrus 
anestrus_1,estrus 
anglican_2,Nonconformist 
anglophilia_1,Anglophobia 
anglophobia_1,Anglophilia 
angry_1,unangry 
angular_1,rounded 
angularity_2,roundness 
angulate_1,rounded 
anhydrous_1,hydrous 
animal_1,mineral,vegetable
animate_1,inanimate 
animate_2,inanimate 
animate_3,insentient 
animate_5,deaden 
animated_1,unanimated 
animateness_1,inanimateness 
anionic_1,cationic 
anisotropic_1,isotropic 
anisotropy_1,isotropy 
annual_1,biennial,perennial
annul_1,validate 
anodal_1,cathodic 
anode_1,cathode 
anode_2,cathode 
anodic_1,cathodic 
anoestrum_1,estrus 
anoestrus_1,estrus 
anon._1,onymous 
anonymous_1,onymous 
anorthic_1,monoclinic 
anovulation_1,ovulation 
answer_4,question 
antagonist_1,agonist 
antagonist_3,synergist 
antagonistic_1,conciliatory 
antagonistic_4,synergistic 
antapex_1,apex 
ante up_1,default 
antecede_1,postdate 
antecedence_1,posteriority 
antecedency_1,posteriority 
antecedent_1,subsequent 
antecedent_2,descendant 
antedate_1,postdate 
antedate_2,postdate 
antemeridian_1,postmeridian 
antemortem_1,postmortem 
antenatal_1,perinatal,postnatal
antenuptial_1,postnuptial 
antepartum_1,perinatal,postnatal
anterior_1,posterior
anteriority_1,posteriority
anteriority_2,posteriority
anterograde_1,retrograde
anti_1,pro
anti-american_1,pro-American
anticatalyst_1,catalyst
anticholinergic_1,cholinergic
anticlimactic_2,climactic
anticlinal_1,synclinal
anticlockwise_1,clockwise
anticlockwise_2,clockwise
anticyclone_1,cyclone
antimagnetic_1,magnetic
antinode_1,node
antipyretic_1,pyretic
antiseptic_1,septic 
antitype_1,type 
antonym_1,antonym,synonym
antonymous_1,antonymous,synonymous
antonymy_1,antonymy
antrorse_1,retrorse 
apace_1,slowly 
aperiodic_1,periodic 
apetalous_1,petalous 
apex of the sun's way_1,antapex 
apex_1,antapex 
aphelion_1,perihelion 
aphrodisia_1,anaphrodisia 
aphrodisiac_1,anaphrodisiac 
aphrodisiacal_1,anaphrodisiac 
aplacental_1,placental 
apoapsis_1,periapsis,point of periapsis
apocarpous_1,syncarpous 
apocrine_1,eccrine 
apogee_1,perigee 
apojove_1,perijove 
apologetic_1,unapologetic 
apolune_1,perilune,periselene
apophatism_1,cataphatism,doctrine of analogy
aposelene_1,perilune,periselene
apparel_2,undress 
appeal_5,repel 
appealable_1,unappealable 
appealing_1,unappealing 
appealing_3,unsympathetic 
appealingly_1,unappealingly 
appear_1,disappear 
appear_3,disappear
appearance_2,disappearance
appearance_3,disappearance
appendaged_1,unappendaged
appetising_1,unappetizing
appetisingness_1,unappetizingness
appetizing_1,unappetizing
appetizingness_1,unappetizingness
applaud_1,boo
applicability_1,inapplicability
applied_1,theoretical
apply_2,exempt
apply_6,defy
appointed_1,elective
appointive_1,elective
apposable_1,unopposable
appositeness_1,inappositeness,inaptness
appreciate_2,depreciate 
appreciate_3,depreciate 
appreciation_3,depreciation 
appreciatively_1,unappreciatively,ungratefully
apprise_2,depreciate 
apprise_3,depreciate 
apprize_2,depreciate 
apprize_3,depreciate 
approachability_1,unapproachability 
approachable_2,unapproachable 
approbate_1,reprobate 
approbation_2,disapprobation 
appropriate_3,inappropriate 
appropriately_1,inappropriately,unsuitably
appropriateness_1,inappropriateness 
appropriateness_2,inappropriateness 
approval_1,disapproval 
approval_2,disapproval 
approval_4,disapproval 
approve_1,disapprove 
approve_2,disapprove 
approved_1,disapproved 
approving_2,disapproval 
approvingly_1,disapprovingly 
apropos_1,malapropos 
apteral_1,peripteral 
aptitude_1,inaptitude 
aptly_1,incompetently 
aptness_1,inappositeness,inaptness
aquatic_2,amphibious,terrestrial
aqueous_2,igneous 
arabic numeral_1,Roman numeral 
arbitrable_1,nonarbitrable 
arbitrary_1,nonarbitrary 
arboreal_1,nonarboreal 
arboreous_2,nonarboreal 
arenaceous_1,argillaceous 
argillaceous_1,arenaceous 
argumentative_1,unargumentative 
arianism_1,Athanasianism 
aridity_2,fruitfulness 
aright_1,incorrectly,wrongly
arise_3,go to bed,turn in
arise_6,lie down,sit down
arise_7,fall 
arm_7,disarm 
armament_1,disarmament,disarming
armed_1,armless,
armed_2,unarmed,
armed_3,unarmed,
arming_1,disarmament,disarming 
armless_1,armed,
armored_1,unarmored,
armored_2,unarmored,
armoured_1,unarmored,
armoured_2,unarmored,
arouse_1,cause to sleep,
arouse_5,de-energise,de-energize,sedate
arouse_7,fall asleep,
arrange_5,disarrange,
arranged_1,disarranged,
arrive_1,leave,
arrogate_3,forfeit,
artefact_1,natural object 
artesian_1,subartesian 
artful_1,artless 
artful_2,ingenuous 
artfulness_1,artlessness 
articulate_1,unarticulated 
articulate_2,inarticulate 
articulated_1,unarticulated 
articulately_1,inarticulately,ineloquently
articulately_2,inarticulately 
artifact_1,natural object 
artificial language_1,natural language 
artificial_3,natural 
artificially_1,naturally 
artiodactyl mammal_1,odd-toed ungulate 
artiodactyl_2,odd-toed ungulate 
artless_1,artful 
artless_2,disingenuous 
artlessness_1,artfulness 
as luck would have it_1,unfortunately,unluckily
ascend_4,descend 
ascend_5,set 
ascendant_3,descendant 
ascendent_3,descendant 
ascending node_1,descending node 
ascending_1,descending 
ascension_4,fall 
ascent_1,descent 
ascent_2,fall 
asexual_1,sexual 
ashamed_1,unashamed 
ashamedly_1,unashamedly 
ask_5,obviate 
asking_1,declarative,declaratory
asleep_2,awake 
asperity_2,dullness 
assail_2,defend 
assemblage_1,disassembly 
assemble_3,disassemble 
assembly_1,disassembly 
assembly_2,disassembly 
assent_2,dissent 
asserting_1,interrogative,interrogatory
assertive_1,unassertive 
assertively_1,unassertively 
asset_1,liability 
assigned_1,unassigned 
assimilate_2,dissimilate 
assimilate_3,dissimilate
assimilate_4,dissimilate
assisted_1,unassisted
associate_8,dissociate
association_8,disassociation
associative_1,nonassociative
associatory_1,nonassociative
assoil_1,convict
assortative mating_1,disassortative mating
assure_4,worry
astern_1,fore
astigmatic_1,anastigmatic
astigmatism_2,stigmatism
astigmia_2,stigmatism
astomatous_1,stomatous
astringent_2,nonastringent
asymmetric_1,symmetrical,
asymmetrical_1,symmetrical,
asymmetrically_1,symmetrically,
asymmetry_1,symmetry,
asynchronism_1,synchronism,synchronization,synchronizing
asynchronous operation_1,synchronous operation,
asynchronous_1,synchronous,
asynchronous_2,synchronous,
asynchrony_1,synchronism,synchronization,synchronizing
asyndetic_1,syndetic,
at a lower place_1,above,
at best_1,at worst,
at least_1,at most,at the most 
at most_1,at least,at the least 
at that place_1,here,
at the best_1,at worst,
at the least_1,at most,at the most
at the most_1,at least,at the least
at the worst_1,at best 
at worst_1,at best 
athanasianism_1,Arianism 
atheism_1,theism 
atomic theory_1,holism 
atomic_2,conventional 
atomism_1,holism 
atomist theory_1,holism 
atomistic theory_1,holism 
atomistic_1,holistic 
atomistical_1,holistic 
atonal_1,tonal 
atonalism_1,tonality 
atonality_1,tonality 
atonia_1,tonicity
atonic_2,tonic
atonicity_1,tonicity
atony_1,tonicity
atoxic_1,toxic
atrophied_1,hypertrophied
attach_2,detach
attach_4,detach
attachable_1,detachable
attached_2,unattached
attached_4,detached
attached_5,vagile
attack_12,defend
attaint_2,honor
attend to_2,neglect
attend_2,miss
attendance_1,nonattendance
attended_1,unaccompanied
attending_3,nonattendance
attending_4,inattention
attention_1,inattention
attentive_1,inattentive
attentive_2,heedless
attentiveness_2,inattentiveness
attentiveness_3,inattentiveness
attire_2,dress down
attract_1,repel
attract_2,repel
attraction_1,repulsion
attractive force_1,repulsion
attractive_2,unattractive
attractive_3,repulsive
attractively_1,unattractively
attractiveness_2,unattractiveness
attributable_1,unattributable
attributive_1,predicative
atypical_2,typical
atypicality_1,typicality
atypically_1,typically
audibility_1,inaudibility
audible_1,inaudible
audibleness_1,inaudibility
audibly_1,inaudibly
augmentation_3,diminution
aunt_1,uncle
auntie_1,uncle
aunty_1,uncle
aurora_3,sunset
auspicious_1,inauspicious 
auspiciously_1,inauspiciously,unpropitiously
auspiciousness_1,inauspiciousness,unpropitiousness
authorised_2,unauthorized 
authorized_1,unauthorized 
autochthonous_1,allochthonous 
autoecious_1,heteroecious 
autogamic_1,endogamous,exogamous
autogamous_1,endogamous,exogamous
autogamy_1,allogamy 
autogenic_1,heterogenous 
autogenous_1,heterogenous 
autologous_1,heterologous,homologous
automatic_1,manual 
autophytic_1,heterotrophic 
autotrophic_1,heterotrophic 
autumnal equinox_2,vernal equinox,
autumnal_1,summery,vernal,wintry
availability_1,inaccessibility,unavailability 
available_1,unavailable,
availableness_1,inaccessibility,unavailability 
avascular_1,vascular,
avenged_1,unavenged,
avertable_1,inevitable,
avertible_1,inevitable,
avirulent_1,virulent,
avoid_1,confront,
avoid_3,validate,
avoidable_1,inevitable,
avoirdupois_2,leanness,
avouch_1,disavow,
avow_2,disavow,
awake_3,asleep
awake_4,fall asleep
awaken_2,cause to sleep
awaken_3,fall asleep
awakened_1,unawakened
aware_1,unaware
aware_2,unmindful
aware_3,unwitting
awareness_1,incognizance
away game_1,home game
away_2,home
awed_1,unawed
awestricken_1,unawed
awestruck_1,unawed
awful_6,nice
awkward_4,graceful
awkwardness_2,gracefulness
awned_1,awnless
awnless_1,awned
awny_1,awnless
azonal_1,zonal
babble out_1,keep quiet
babble_4,keep quiet
back burner_1,front burner
back end_1,front
back up_3,unclog
back_1,front
back_13,front
back_14,front
back_16,advance
back_21,front
back_24,veer
back_4,forward 
back_5,ahead,forward
backed_3,backless 
background_9,foreground,play up
backhand_1,forehand 
backhanded_1,forehand 
backless_1,backed 
backside_2,front 
backward_1,forward 
backward_2,forward 
backward_4,forward 
backward_5,ahead,forward
backwards_1,forward 
bad condition_1,fitness 
bad egg_1,good egg 
bad guy_1,good guy 
bad luck_2,good fortune,good luck
bad person_1,good person 
bad weather_1,good weather 
bad_1,good 
bad_17,good,goodness
bad_9,unregretful 
badly_3,advantageously,well
badly_4,well 
badly_5,well 
badly_8,well 
badly_9,well 
badness_1,good,goodness
balance_12,asymmetry 
balance_15,unbalance 
balance_5,imbalance 
balanced_1,unbalanced 
balconied_1,unbalconied 
balefulness_1,beneficence 
banded_3,unbanded 
bank_13,withdraw 
bank_17,distrust,mistrust
baptised_1,unbaptized 
baptized_1,unbaptized 
bar_18,unbar 
bare_10,sheathed 
bare_2,covered 
barefacedly_1,ashamedly 
barf_2,keep down 
barreled_1,unbarreled 
barrelled_1,unbarreled 
barrenness_1,fruitfulness 
bas relief_1,high relief 
basal_3,cauline
baseball diamond_1,outfield
basic_2,incidental
basify_1,acidify
basipetal_1,acropetal
basiscopic_1,acroscopic
basso relievo_1,high relief
basso rilievo_1,high relief
be active_1,rest
be born_1,die
be full_1,starve
be quiet_1,open up
be sick_1,keep down
be well_1,suffer
be_5,differ
beachlike_1,cliffy
beachy_1,cliffy 
beaked_1,beakless 
beakless_1,beaked 
bear away_1,bring 
bear in mind_1,forget 
bear off_1,bring 
bear on_2,discontinue 
bear_2,bull 
bearing_1,nonbearing 
beat back_1,attract 
beautiful_2,ugly 
beautifully_1,unattractively 
beautify_3,uglify 
beauty_1,ugliness 
becomingness_1,unbecomingness 
bed_9,get up,turn out
bedamn_1,bless 
bedded_1,bedless 
bedded_2,unstratified 
bedless_1,bedded 
beef up_1,weaken 
befittingly_1,inappropriately,unsuitably
begetter_1,female parent,mother
begin_4,end 
begin_5,end 
begin_6,end 
beginning_2,end,middle
beginning_3,ending 
beginning_5,end,middle
beginning_6,finish 
begrime_1,clean 
begrudge_2,wish 
behave_3,misbehave 
being_1,nonbeing,nonexistence
beingness_1,nonbeing,nonexistence
belatedly_1,early 
belief_1,unbelief 
believability_1,incredibility 
believable_1,incredible 
believably_1,incredibly 
believably_2,unbelievably,unbelievably
believe_1,disbelieve 
believingly_1,incredulously,unbelievingly
belittle_2,flatter 
bellied_2,bellyless 
bellyless_1,bellied 
below the belt_2,fairly 
below_1,above 
below_2,above
below_3,upstairs
belt along_1,linger
belt up_1,open up
belt_8,unbelt
belted_1,unbelted
beltless_1,belted
bemire_1,clean
bend_10,unbend
bend_9,straighten
beneath_1,above
beneficed_1,unbeneficed
beneficence_1,maleficence
beneficence_2,maleficence
beneficent_1,maleficent
benevolence_3,malevolence
benevolently_1,malevolently 
benign_1,malign 
benign_3,malignant 
benignancy_1,malignancy,malignity
benignant_1,malign 
benignity_1,malignancy,malignity
bequeath_1,disinherit 
beseeching_1,imperative 
beshrew_1,bless 
best_2,worst 
best_4,worst 
bestride_1,hop out 
betray_3,undeceive 
better_1,worse 
better_10,worsen 
better_11,worsen 
better_3,worse 
bettering_1,worsening 
beyond control_1,in hand 
biaural_1,monaural 
bibbed_1,bibless 
bibless_1,bibbed 
bicameral_2,unicameral 
bidirectional_1,unidirectional 
biennial_2,annual,perennial
big_15,small 
big_9,little,small
bigness_1,littleness,smallness
bilaterally symmetrical_2,actinomorphic 
bilaterally_1,unilaterally 
bimodal_1,unimodal 
binaural_1,monaural 
binaurally_1,monaurally 
bind_10,untie 
bind_4,unbind 
binuclear_1,mononuclear,trinucleate
binucleate_1,mononuclear,trinucleate
binucleated_1,mononuclear,trinucleate
biodegradable pollution_1,nonbiodegradable pollution 
biological_1,adoptive 
biovular_1,identical 
biped_1,quadruped,quadrupedal
bipedal_1,quadruped,quadrupedal
bipolar_2,unipolar 
birth_1,death 
birth_2,death 
bisexual_2,heterosexual,homosexual
bivalent_2,multivalent,univalent
bivalve_1,univalve
bivalved_1,univalve
blab out_1,keep quiet
blab_2,keep quiet
black and white_1,color
black_1,white
black_10,white
black_19,white
black_21,white
black_23,whiten
black-and-white_1,color
blacken_2,whiten
blackness_1,white
blame_5,absolve
blandish_1,disparage
blank out_2,remember
blear_2,focus 
blemished_1,unblemished 
blended_1,unblended 
bless_2,desecrate 
bless_3,curse 
blessed_5,cursed 
blessing_1,disapproval 
blest_1,cursed 
blind_3,sighted 
blithely_1,unhappily 
blitheness_1,cheerlessness 
block_16,remember 
block_17,unblock,unfreeze
block_22,free 
block_28,unstuff 
blond_1,brunet 
blonde_1,brunet
blood brother_2,sister
blood kinship_1,affinity
bloodily_1,bloodlessly
bloodless_4,bloody
bloodlessly_1,bloodily
bloody_2,bloodless
blow out_3,ignite
blow up_3,reduce
blow up_7,deflate
blow_28,conserve
blubber_2,leanness
blue-collar_1,white-collar
blunt file_1,taper file
blunt_6,enliven
blunt_7,sharpen
bluntness_1,sharpness,sharpness
blur_2,focus 
blur_3,focus 
blur_5,focus 
blurriness_1,distinctness,sharpness
board_10,get off 
boarding school_1,day school 
boarding_1,disembarkation 
bodied_2,unbodied 
bodoni font_1,old style 
bodoni_2,old style 
boil_4,freeze 
bold_1,timid 
boldness_1,timidity 
bolt_12,unbolt 
bomb_5,pass 
boneless_1,bony 
boney_1,boneless 
bony_1,boneless 
boo_2,applaud 
bordered_1,unbordered 
bore_6,interest 
born_1,unborn 
borrow_2,lend 
borrower_1,lender 
botany_2,fauna 
bottle-fed_1,breast-fed 
bottlefeed_1,breastfeed 
bottle-feed_1,bottlefeed 
bottom of the inning_1,top 
bottom out_2,top out 
bottom_1,side,top
bottom_4,top 
bottomed_1,bottomless 
bottomless_1,bottomed 
bottom-up_1,top-down 
bounce back_1,get worse 
bounce_10,clear 
bound_3,unbound 
bound_4,unbound 
bound_5,free 
bounded interval_1,open interval 
boundedness_1,infiniteness 
boundlessness_1,finiteness 
bowed_5,plucked 
box_13,unbox 
boy_2,female child,girl
boy_4,daughter,girl
boycott_2,patronise,patronize 
brace_13,de-energise,de-energize,sedate
brachycephalic_1,dolichocephalic,
brachycranial_1,dolichocephalic,
brachycranic_1,dolichocephalic,
bracteate_1,ebracteate,
bracted_1,ebracteate,
braid_5,unbraid,
brainwashed_1,unbrainwashed,
branch out_1,specialise,specialize 
branchiate_1,abranchiate,
branchless_1,branchy,
branchy_1,branchless,
branded_2,unbranded,
brand-name drug_1,generic drug,
brave_3,cowardly,
brave_4,timid 
braveness_1,cowardice 
bravery_1,cowardice 
bravery_2,fear 
breach_5,keep 
break apart_2,assemble 
break apart_3,unify 
break down_1,synthesize 
break even_1,lose,profit
break of day_1,sunset 
break of the day_1,sunset 
break up_8,assemble 
break_30,repair 
break_43,promote 
break_60,make 
break_69,keep 
break_71,conform to
breakable_1,unbreakable
breakableness_1,unbreakableness
breasted_1,breastless
